131,alaska,2014,
102,alabama,2017,
106,arkansas,2014,
200,arizona,2014,
204,california,2014,
110,colorado,2014,
192,delaware,2016,
213,florida,2014,
114,georgia,2014,
217,hawaii,2014,
118,iowa,2014,
196,idaho,2014,
92,illinois,2014,
221,indiana,2016,
230,kansas,2014,
183,kentucky,2015,
135,louisiana,2015,
238,massachusetts,2014,
234,maryland,2014,
139,maine,2014,
242,michigan,2014,
143,minnesota,2014,
147,missouri,2016,
246,mississippi,2015,
151,montana,2016,
159,north_carolina,2016,
262,north_dakota,2016,
250,nebraska,2014,
155,new_hampshire,2016,
127,new_jersey,2013,
187,new_mexico,2014,
254,nevada,2014,
266,ohio,2014,
179,oklahoma,2014,
163,oregon,2016,
270,pennsylvania,2014,
274,rhode_island,2014,
175,south_dakota,2014,
171,tennessee,2014,
122,texas,2014,
278,utah,2016,
286,virginia,2013,
282,vermont,2016,
290,washington,2016,
298,wisconsin,2014,
294,west_virginia,2016,
302,wyoming,2014,
208,connecticut,2014,x
258,new_york,2014,x
167,south_carolina,2017,x
