RaceDetail.html?RaceID=616988,Lubbock,Texas,nonpartisan,
RaceDetail.html?RaceID=800635,Madison,Wisconsin,nonpartisan,
RaceDetail.html?RaceID=539323,Gilbert,Arizona,nonpartisan,
RaceDetail.html?RaceID=821013,Norfolk,Virginia,nonpartisan,
RaceDetail.html?RaceID=810286,Reno,Nevada,nonpartisan,
RaceDetail.html?RaceID=792003,Winston–salem,North Carolina,partisan,
RaceDetail.html?RaceID=322357,Glendale,Arizona,nonpartisan,
RaceDetail.html?RaceID=791794,Hialeah,Florida,nonpartisan,
RaceDetail.html?RaceID=539331,Scottsdale,Arizona,nonpartisan,
RaceDetail.html?RaceID=635717,Irving,Texas,nonpartisan,
RaceDetail.html?RaceID=781478,North Las Vegas,Nevada,nonpartisan,
RaceDetail.html?RaceID=779826,Fremont,California,nonpartisan,
RaceDetail.html?RaceID=821720,Baton Rouge,Louisiana,nonpartisan,
RaceDetail.html?RaceID=770401,Richmond,Virginia,nonpartisan,
RaceDetail.html?RaceID=810491,Boise,Idaho,nonpartisan,
RaceDetail.html?RaceID=809421,Spokane,Washington,nonpartisan,
RaceDetail.html?RaceID=790853,Birmingham,Alabama,nonpartisan,
RaceDetail.html?RaceID=693276,Modesto,California,nonpartisan,
RaceDetail.html?RaceID=807985,Des Moines,Iowa,nonpartisan,
RaceDetail.html?RaceID=790532,Rochester,New York,partisan,
RaceDetail.html?RaceID=809420,Tacoma,Washington,,
RaceDetail.html?RaceID=690596,Oxnard,California,nonpartisan,
RaceDetail.html?RaceID=809214,Yonkers,New York,partisan,
RaceDetail.html?RaceID=786799,Aurora,Illinois,nonpartisan,
RaceDetail.html?RaceID=806406,Montgomery,Alabama,nonpartisan,
RaceDetail.html?RaceID=824582,Little Rock,Arkansas,nonpartisan,
RaceDetail.html?RaceID=803969,Akron,Ohio,partisan,
RaceDetail.html?RaceID=806785,Shreveport,Louisiana,nonpartisan,
RaceDetail.html?RaceID=49779,Augusta,Georgia,,
RaceDetail.html?RaceID=821502,Grand Rapids,Michigan,nonpartisan,
RaceDetail.html?RaceID=790852,Mobile,Alabama,nonpartisan,
RaceDetail.html?RaceID=805390,Salt Lake City,Utah,nonpartisan,
RaceDetail.html?RaceID=510737,Huntsville,Alabama,nonpartisan,
RaceDetail.html?RaceID=802879,Tallahassee,Florida,nonpartisan,
RaceDetail.html?RaceID=784288,Overland Park,Kansas,nonpartisan,
RaceDetail.html?RaceID=813133,Knoxville,Tennessee,nonpartisan,
RaceDetail.html?RaceID=816684,Worcester,Massachusetts,nonpartisan,
RaceDetail.html?RaceID=620896,Santa Clarita,California,nonpartisan,
RaceDetail.html?RaceID=792841,Providence,Rhode Island,partisan,
RaceDetail.html?RaceID=821511,Fort Lauderdale,Florida,nonpartisan,
RaceDetail.html?RaceID=765763,Chattanooga,Tennessee,nonpartisan,
RaceDetail.html?RaceID=821739,Tempe,Arizona,nonpartisan,
RaceDetail.html?RaceID=306197,Oceanside,California,nonpartisan,
RaceDetail.html?RaceID=823915,Garden Grove,California,nonpartisan,
RaceDetail.html?RaceID=212789,Cape Coral,Florida,nonpartisan,
RaceDetail.html?RaceID=234211,Vancouver,Washington,nonpartisan,
RaceDetail.html?RaceID=741369,Sioux Falls,South Dakota,nonpartisan,
RaceDetail.html?RaceID=539332,Peoria,Arizona,nonpartisan,
RaceDetail.html?RaceID=799020,Jackson,Mississippi,partisan,
RaceDetail.html?RaceID=809182,Springfield,Missouri,nonpartisan,
RaceDetail.html?RaceID=820842,Pembroke Pines,Florida,nonpartisan,
RaceDetail.html?RaceID=817959,Salem,Oregon,nonpartisan,
RaceDetail.html?RaceID=818312,Eugene,Oregon,nonpartisan,
RaceDetail.html?RaceID=390465,Cary,North Carolina,partisan,
RaceDetail.html?RaceID=813330,Springfield,Massachusetts,nonpartisan,
RaceDetail.html?RaceID=731571,Macon,Georgia,partisan,
RaceDetail.html?RaceID=806236,Alexandria,Virginia,partisan,
RaceDetail.html?RaceID=819873,Lakewood,Colorado,nonpartisan,
RaceDetail.html?RaceID=784700,Kansas City,Kansas,nonpartisan,
RaceDetail.html?RaceID=595544,Kansas City,Kansas,nonpartisan,
RaceDetail.html?RaceID=59526,Hollywood,Florida,partisan,
RaceDetail.html?RaceID=786820,Rockford,Illinois,partisan,
RaceDetail.html?RaceID=799784,Joliet,Illinois,nonpartisan,
RaceDetail.html?RaceID=613570,Paterson,New Jersey,nonpartisan,
RaceDetail.html?RaceID=806920,Bridgeport,Connecticut,partisan,
RaceDetail.html?RaceID=799783,Naperville,Illinois,nonpartisan,
RaceDetail.html?RaceID=808201,Savannah,Georgia,nonpartisan,
RaceDetail.html?RaceID=790585,Syracuse,New York,partisan,
RaceDetail.html?RaceID=791538,Dayton,Ohio,nonpartisan,
RaceDetail.html?RaceID=281741,Bellevue,Washington,nonpartisan,
RaceDetail.html?RaceID=809454,Miramar,Florida,nonpartisan,
RaceDetail.html?RaceID=643025,Columbia,South Carolina,nonpartisan,
RaceDetail.html?RaceID=808198,Charleston,South Carolina,nonpartisan,
RaceDetail.html?RaceID=798607,Cedar Rapids,Iowa,nonpartisan,
RaceDetail.html?RaceID=808208,New Haven,Connecticut,partisan,
RaceDetail.html?RaceID=39309,Roseville,California,nonpartisan,
RaceDetail.html?RaceID=812044,Gainesville,Florida,nonpartisan,
RaceDetail.html?RaceID=789591,Elizabeth,New Jersey,partisan,
RaceDetail.html?RaceID=790970,Stamford,Connecticut,partisan,
RaceDetail.html?RaceID=539334,Surprise,Arizona,nonpartisan,
RaceDetail.html?RaceID=783319,Topeka,Kansas,nonpartisan,
RaceDetail.html?RaceID=280005,Kent,Washington,nonpartisan,
RaceDetail.html?RaceID=825304,Santa Clara,California,nonpartisan,
RaceDetail.html?RaceID=806918,Hartford,Connecticut,partisan,
RaceDetail.html?RaceID=825388,Athens,Georgia,nonpartisan,
RaceDetail.html?RaceID=773915,Berkeley,California,nonpartisan,
RaceDetail.html?RaceID=580482,Norman,Oklahoma,nonpartisan,
RaceDetail.html?RaceID=786928,Allentown,Pennsylvania,partisan,
RaceDetail.html?RaceID=808190,Evansville,Indiana,partisan,
RaceDetail.html?RaceID=806257,Columbia,Missouri,nonpartisan,
RaceDetail.html?RaceID=691223,Fargo,North Dakota,nonpartisan,
RaceDetail.html?RaceID=800387,Independence,Missouri,nonpartisan,
RaceDetail.html?RaceID=809482,Ann Arbor,Michigan,partisan,
RaceDetail.html?RaceID=799779,Springfield,Illinois,nonpartisan,
RaceDetail.html?RaceID=825019,Provo,Utah,nonpartisan,
RaceDetail.html?RaceID=786798,Peoria,Illinois,nonpartisan,
RaceDetail.html?RaceID=626992,Lansing,Michigan,nonpartisan,
RaceDetail.html?RaceID=820068,Clearwater,Florida,nonpartisan,
RaceDetail.html?RaceID=799782,Elgin,Illinois,nonpartisan,
RaceDetail.html?RaceID=228361,West Jordan,Utah,nonpartisan,
RaceDetail.html?RaceID=810267,Inglewood,California,nonpartisan,
RaceDetail.html?RaceID=786658,Lowell,Massachusetts,nonpartisan,
RaceDetail.html?RaceID=659560,Billings,Montana,nonpartisan,
RaceDetail.html?RaceID=808199,Manchester,New Hampshire,nonpartisan,
RaceDetail.html?RaceID=824679,Richmond,California,nonpartisan,
RaceDetail.html?RaceID=808209,Waterbury,Connecticut,partisan,
RaceDetail.html?RaceID=747391,Everett,Washington,nonpartisan,
RaceDetail.html?RaceID=263768,Palm Bay,Florida,nonpartisan,
RaceDetail.html?RaceID=821512,West Palm Beach,Florida,nonpartisan,
RaceDetail.html?RaceID=627964,Sandy Springs,Georgia,nonpartisan,
RaceDetail.html?RaceID=820848,Green Bay,Wisconsin,nonpartisan,
RaceDetail.html?RaceID=789143,Edison,New Jersey,partisan,
RaceDetail.html?RaceID=806484,Davenport,Iowa,nonpartisan,
RaceDetail.html?RaceID=277467,Woodbridge,New Jersey,partisan,
RaceDetail.html?RaceID=819440,Las Cruces,New Mexico,nonpartisan,
RaceDetail.html?RaceID=808195,South Bend,Indiana,partisan,
RaceDetail.html?RaceID=516936,Davie,Florida,partisan,
RaceDetail.html?RaceID=167734,Renton,Washington,nonpartisan,2.0
RaceDetail.html?RaceID=771406,Dover,Delaware,nonpartisan,2.0
RaceDetail.html?RaceID=825017,Santa Fe,New Mexico,nonpartisan,2.0
RaceDetail.html?RaceID=566064,Long Grove,Illinois,nonpartisan,2.0
RaceDetail.html?RaceID=693442,Fort Pierce,Florida,nonpartisan,2.0
RaceDetail.html?RaceID=526681,Lancaster,Pennsylvania,partisan,2.0
RaceDetail.html?RaceID=807941,Chapel Hill,North Carolina,nonpartisan,2.0
RaceDetail.html?RaceID=808597,Coral Gables,Florida,nonpartisan,2.0
RaceDetail.html?RaceID=810467,Concord,New Hampshire,nonpartisan,2.0
RaceDetail.html?RaceID=821270,Wilmington,Delaware,partisan,2.0
RaceDetail.html?RaceID=810545,Miami Beach,Florida,nonpartisan,2.0
RaceDetail.html?RaceID=804628,Westminster,California,nonpartisan,2.0
RaceDetail.html?RaceID=790213,Sandy,Utah,nonpartisan,2.0
RaceDetail.html?RaceID=816563,Trenton,New Jersey,nonpartisan,3.0
RaceDetail.html?RaceID=790534,Albany,New York,partisan,3.0
RaceDetail.html?RaceID=786998,Erie,Pennsylvania,partisan,3.0
RaceDetail.html?RaceID=784478,Harrisburg,Pennsylvania,partisan,3.0
RaceDetail.html?RaceID=810684,Reading,Pennsylvania,partisan,3.0
RaceDetail.html?RaceID=749840,Lewiston,Maine,nonpartisan,3.0
RaceDetail.html?RaceID=809869,Portland,Maine,nonpartisan,3.0
RaceDetail.html?RaceID=810468,Nashua,New Hampshire,nonpartisan,3.0
RaceDetail.html?RaceID=823590,Cranston,Rhode Island,partisan,3.0
RaceDetail.html?RaceID=823800,Pawtucket,Rhode Island,partisan,3.0
RaceDetail.html?RaceID=823591,Warwick,Rhode Island,partisan,3.0
RaceDetail.html?RaceID=800821,Burlington,Vermont,partisan,3.0
RaceDetail.html?RaceID=693395,Kenosha,Wisconsin,nonpartisan,3.0
RaceDetail.html?RaceID=810816,Sioux City,Iowa,nonpartisan,3.0
RaceDetail.html?RaceID=674699,Waterloo,Iowa,nonpartisan,3.0
RaceDetail.html?RaceID=808550,Jefferson City,Missouri,nonpartisan,3.0
RaceDetail.html?RaceID=226332,Grand Island,Nebraska,nonpartisan,3.0
RaceDetail.html?RaceID=790986,Annapolis,Maryland,nonpartisan,3.0
RaceDetail.html?RaceID=805334,Charleston,West Virginia,partisan,3.0
RaceDetail.html?RaceID=561864,Tuscaloosa,Alabama,nonpartisan,3.0
RaceDetail.html?RaceID=748784,Bowling Green,Kentucky,nonpartisan,3.0
RaceDetail.html?RaceID=766237,Frankfort,Kentucky,nonpartisan,3.0
RaceDetail.html?RaceID=788820,Biloxi,Mississippi,nonpartisan,3.0
RaceDetail.html?RaceID=785307,Southaven,Mississippi,partisan,3.0
RaceDetail.html?RaceID=697508,Olympia,Washington,nonpartisan,3.0
RaceDetail.html?RaceID=634038,Fayetteville,Arkansas,nonpartisan,3.0
RaceDetail.html?RaceID=781475,Lake Charles,Louisiana,partisan,3.0
RaceDetail.html?RaceID=766245,Carson City,Nevada,nonpartisan,3.0
RaceDetail.html?RaceID=635984,Orem,Utah,nonpartisan,3.0
RaceDetail.html?RaceID=785918,Cheyenne,Wyoming,nonpartisan,3.0
RaceDetail.html?RaceID=735833,Fairbanks,Alaska,nonpartisan,3.0
RaceDetail.html?RaceID=817446,Juneau,Alaska,nonpartisan,3.0
RaceDetail.html?RaceID=746989,Sitka,Alaska,nonpartisan,3.0
